State,Model,MAE,RMSE,MAPE,WAPE,Forecast Reliability,Is Best Model,Training Months,Testing Months,Training Start,Training End,Testing Start,Testing End
Idaho,Holt Linear Trend,156.3615,160.4654,320.8472,223.8949,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Idaho,Holt Damped Trend,127.3613,132.3772,226.6427,182.3693,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Illinois,Historical Average,1133.202,1482.9611,63.5083,51.0095,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Illinois,Last Value (Naive),1386.4257,1473.6114,127.5383,62.408,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Illinois,Three Month Moving Average,1133.202,1464.7711,65.2276,51.0095,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Illinois,Six Month Moving Average,1133.202,1411.7584,70.9511,51.0095,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Illinois,Simple Exponential Smoothing,1133.202,1482.9565,63.5087,51.0095,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Illinois,Holt Linear Trend,1116.0925,1326.2986,82.0533,50.2393,Very Low,True,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Illinois,Holt Damped Trend,1133.1832,1402.9744,72.0477,51.0087,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Indiana,Historical Average,1058.8633,1510.7755,37.2733,64.2762,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Indiana,Last Value (Naive),1296.3967,1746.0318,61.848,78.6952,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Indiana,Three Month Moving Average,1058.8633,1430.0226,40.8733,64.2762,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Indiana,Six Month Moving Average,1225.0022,1679.29,54.0871,74.3614,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Indiana,Simple Exponential Smoothing,1058.8633,1510.7586,37.2739,64.2762,Very Low,True,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Indiana,Holt Linear Trend,1389.6314,1499.4236,94.2335,84.3549,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Indiana,Holt Damped Trend,1306.3003,1403.7036,81.5974,79.2964,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Iowa,Historical Average,85.4689,88.6734,159.2077,383.6414,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Iowa,Last Value (Naive),22.2783,32.4709,100.0,100.0,Very Low,True,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Iowa,Three Month Moving Average,23.985,27.0419,25.9996,107.6607,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Iowa,Six Month Moving Average,52.145,57.2463,79.0403,234.0615,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Iowa,Simple Exponential Smoothing,85.4683,88.6728,159.2061,383.6385,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Iowa,Holt Linear Trend,55.442,60.7971,87.2442,248.8607,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Iowa,Holt Damped Trend,44.9523,50.7833,61.7414,201.7757,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Kansas,Historical Average,100.4009,136.5574,43.0116,132.9079,Very Low,False,33,6,2015-09-01,2018-05-01,2018-06-01,2018-11-01
Kansas,Last Value (Naive),75.5417,156.0562,100.0,100.0,Very Low,True,33,6,2015-09-01,2018-05-01,2018-06-01,2018-11-01
Kansas,Three Month Moving Average,75.5417,156.0562,100.0,100.0,Very Low,False,33,6,2015-09-01,2018-05-01,2018-06-01,2018-11-01
Kansas,Six Month Moving Average,99.565,136.5981,44.9278,131.8014,Very Low,False,33,6,2015-09-01,2018-05-01,2018-06-01,2018-11-01
Kansas,Simple Exponential Smoothing,76.5762,154.5778,97.6285,101.3694,Very Low,False,33,6,2015-09-01,2018-05-01,2018-06-01,2018-11-01
Kansas,Holt Linear Trend,75.5417,156.0562,100.0,100.0,Very Low,False,33,6,2015-09-01,2018-05-01,2018-06-01,2018-11-01
Kansas,Holt Damped Trend,81.7118,147.9498,86.524,108.1678,Very Low,False,33,6,2015-09-01,2018-05-01,2018-06-01,2018-11-01
Kentucky,Historical Average,1932.9693,2832.0723,84.6534,88.2768,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Kentucky,Last Value (Naive),1891.955,2729.3093,96.5566,86.4037,Very Low,True,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Kentucky,Three Month Moving Average,1943.2628,2850.0054,83.2822,88.7469,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Kentucky,Six Month Moving Average,1985.8944,2926.5774,77.6036,90.6938,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Kentucky,Simple Exponential Smoothing,1932.9691,2832.0719,84.6534,88.2768,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Kentucky,Holt Linear Trend,2048.2135,2991.9009,81.666,93.5399,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Kentucky,Holt Damped Trend,1996.1935,2945.5807,76.2383,91.1642,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Louisiana,Historical Average,869.755,1211.0192,94.2888,100.0,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Louisiana,Last Value (Naive),869.755,1272.7663,100.0,100.0,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Louisiana,Three Month Moving Average,869.755,1216.5103,94.8121,100.0,Very Low,True,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Louisiana,Six Month Moving Average,869.755,1241.0103,97.1081,100.0,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Louisiana,Simple Exponential Smoothing,869.755,1211.0192,94.2888,100.0,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Louisiana,Holt Linear Trend,869.755,1272.7663,100.0,100.0,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Louisiana,Holt Damped Trend,869.7576,1248.695,97.8159,100.0003,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Maine,Historical Average,115.3283,211.2788,93.3934,126.4265,Very Low,False,20,6,2015-08-01,2017-03-01,2017-04-01,2017-09-01
Maine,Last Value (Naive),91.2217,223.4465,100.0,100.0,Very Low,True,20,6,2015-08-01,2017-03-01,2017-04-01,2017-09-01
Maine,Three Month Moving Average,91.2217,223.4465,100.0,100.0,Very Low,False,20,6,2015-08-01,2017-03-01,2017-04-01,2017-09-01
Maine,Six Month Moving Average,91.2217,223.4465,100.0,100.0,Very Low,False,20,6,2015-08-01,2017-03-01,2017-04-01,2017-09-01
Maine,Simple Exponential Smoothing,115.3284,211.2788,93.3934,126.4265,Very Low,False,20,6,2015-08-01,2017-03-01,2017-04-01,2017-09-01
Maine,Holt Linear Trend,91.2217,223.4465,100.0,100.0,Very Low,False,20,6,2015-08-01,2017-03-01,2017-04-01,2017-09-01
Maine,Holt Damped Trend,91.2217,223.4465,100.0,100.0,Very Low,False,20,6,2015-08-01,2017-03-01,2017-04-01,2017-09-01
Maryland,Historical Average,1232.7469,1935.2226,237.2561,96.9856,Very Low,False,38,6,2015-04-01,2018-05-01,2018-06-01,2018-11-01
Maryland,Last Value (Naive),1303.095,1852.4919,365.5659,102.5202,Very Low,False,38,6,2015-04-01,2018-05-01,2018-06-01,2018-11-01
Maryland,Three Month Moving Average,1287.9661,1868.5818,337.9719,101.3299,Very Low,False,38,6,2015-04-01,2018-05-01,2018-06-01,2018-11-01
Maryland,Six Month Moving Average,1221.865,1962.3391,203.4858,96.1295,Very Low,True,38,6,2015-04-01,2018-05-01,2018-06-01,2018-11-01
Maryland,Simple Exponential Smoothing,1232.7468,1935.2227,237.2559,96.9856,Very Low,False,38,6,2015-04-01,2018-05-01,2018-06-01,2018-11-01
Maryland,Holt Linear Trend,1245.5057,1915.3813,263.2485,97.9894,Very Low,False,38,6,2015-04-01,2018-05-01,2018-06-01,2018-11-01
Maryland,Holt Damped Trend,1248.2044,1915.2433,265.5463,98.2017,Very Low,False,38,6,2015-04-01,2018-05-01,2018-06-01,2018-11-01
Massachusetts,Historical Average,1073.2543,1401.5883,126.405,81.6966,Very Low,True,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Massachusetts,Last Value (Naive),1313.7077,1754.8158,100.0,100.0,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Massachusetts,Three Month Moving Average,1284.5077,1733.0639,91.7642,97.7773,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Massachusetts,Six Month Moving Average,1270.236,1722.5127,87.7389,96.6909,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Massachusetts,Simple Exponential Smoothing,1073.2543,1401.5885,126.4049,81.6966,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Massachusetts,Holt Linear Trend,1269.0438,1728.0547,88.5987,96.6002,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Massachusetts,Holt Damped Trend,1249.3174,1714.8732,82.482,95.0986,Very Low,False,39,6,2015-04-01,2018-06-01,2018-07-01,2018-12-01
Michigan,Historical Average,1674.4673,1825.3013,671.5121,102.8939,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Michigan,Last Value (Naive),1542.66,1877.5849,498.4803,94.7945,Very Low,True,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Michigan,Three Month Moving Average,1649.7282,1828.7216,639.0356,101.3737,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Michigan,Six Month Moving Average,2040.4516,2105.6631,1151.963,125.3831,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Michigan,Simple Exponential Smoothing,1991.9462,2036.9479,1088.2868,122.4025,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Michigan,Holt Linear Trend,2142.491,2306.7199,1306.7006,131.6533,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Michigan,Holt Damped Trend,2226.9116,2485.9634,1421.9676,136.8409,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Minnesota,Historical Average,635.7745,737.2112,114.8574,66.5513,Very Low,True,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Minnesota,Last Value (Naive),660.1983,774.8788,104.9559,69.1079,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Minnesota,Three Month Moving Average,786.3817,1012.838,61.37,82.3165,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Minnesota,Six Month Moving Average,793.455,1021.0173,61.6881,83.0569,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Minnesota,Simple Exponential Smoothing,635.7778,737.216,114.856,66.5516,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Minnesota,Holt Linear Trend,955.315,1154.2008,100.0,100.0,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Minnesota,Holt Damped Trend,955.315,1154.2008,100.0,100.0,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Mississippi,Historical Average,361.907,459.5202,483.2892,102.9461,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Mississippi,Last Value (Naive),351.55,562.6024,100.0,100.0,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Mississippi,Three Month Moving Average,347.6567,552.6062,81.5523,98.8925,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Mississippi,Six Month Moving Average,347.6567,484.1185,337.7029,98.8925,Very Low,True,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Mississippi,Simple Exponential Smoothing,361.9071,459.5201,483.2901,102.9461,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Mississippi,Holt Linear Trend,391.8328,438.7306,697.9407,111.4586,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Mississippi,Holt Damped Trend,359.9445,461.2848,470.1467,102.3878,Very Low,False,40,6,2015-03-01,2018-06-01,2018-07-01,2018-12-01
Missouri,Historical Average,686.0146,963.6253,67.5023,110.1999,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Missouri,Last Value (Naive),622.5183,1134.2436,100.0,100.0,Very Low,True,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Missouri,Three Month Moving Average,646.5583,991.6203,58.5242,103.8617,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Missouri,Six Month Moving Average,880.0072,998.608,111.9892,141.3625,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Missouri,Simple Exponential Smoothing,686.012,963.6267,67.5017,110.1995,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Missouri,Holt Linear Trend,877.9484,992.6948,116.7718,141.0317,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Missouri,Holt Damped Trend,788.3699,958.8501,93.381,126.642,Very Low,False,41,6,2015-02-01,2018-06-01,2018-07-01,2018-12-01
Montana,Historical Average,147.5014,148.2491,286.3445,2218.0668,Very Low,False,36,6,2015-04-01,2018-03-01,2018-04-01,2018-09-01
Montana,Last Value (Naive),6.65,16.2891,100.0,100.0,Very Low,True,36,6,2015-04-01,2018-03-01,2018-04-01,2018-09-01
Montana,Three Month Moving Average,1389.81,1389.8895,3399.8997,20899.3985,Very Low,False,36,6,2015-04-01,2018-03-01,2018-04-01,2018-09-01
Montana,Six Month Moving Average,691.58,691.7398,1649.9499,10399.6992,Very Low,False,36,6,2015-04-01,2018-03-01,2018-04-01,2018-09-01
Montana,Simple Exponential Smoothing,147.502,148.2496,286.3458,2218.075,Very Low,False,36,6,2015-04-01,2018-03-01,2018-04-01,2018-09-01
Montana,Holt Linear Trend,466.4949,466.9117,1181.0046,7014.9604,Very Low,False,36,6,2015-04-01,2018-03-01,2018-04-01,2018-09-01
Montana,Holt Damped Trend,446.8313,447.1647,1119.8499,6719.2675,Very Low,False,36,6,2015-04-01,2018-03-01,2018-04-01,2018-09-01
Nebraska,Historical Average,587.1428,1296.5322,183.4416,101.1783,Very Low,False,36,6,2015-07-01,2018-06-01,2018-07-01,2018-12-01
Nebraska,Last Value (Naive),574.985,1310.2623,124.5399,99.0832,Very Low,True,36,6,2015-07-01,2018-06-01,2018-07-01,2018-12-01
Nebraska,Three Month Moving Average,574.985,1326.8365,82.7571,99.0832,Very Low,False,36,6,2015-07-01,2018-06-01,2018-07-01,2018-12-01
Nebraska,Six Month Moving Average,574.985,1333.6291,66.3786,99.0832,Very Low,False,36,6,2015-07-01,2018-06-01,2018-07-01,2018-12-01
Nebraska,Simple Exponential Smoothing,587.1437,1296.5317,183.4447,101.1785,Very Low,False,36,6,2015-07-01,2018-06-01,2018-07-01,2018-12-01
Nebraska,Holt Linear Trend,664.3824,1250.9273,434.7714,114.4885,Very Low,False,36,6,2015-07-01,2018-06-01,2018-07-01,2018-12-01
Nebraska,Holt Damped Trend,647.8244,1260.9712,379.9726,111.6352,Very Low,False,36,6,2015-07-01,2018-06-01,2018-07-01,2018-12-01
Nevada,Historical Average,517.3064,627.3824,78.5242,185.9031,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Nevada,Last Value (Naive),328.7947,654.3376,95.4605,118.1581,Very Low,True,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Nevada,Three Month Moving Average,604.6129,657.1068,70.6804,217.2782,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Nevada,Six Month Moving Average,441.4398,623.1247,85.3402,158.6391,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Nevada,Simple Exponential Smoothing,517.3057,627.3822,78.5243,185.9028,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Nevada,Holt Linear Trend,739.2151,744.0256,55.3014,265.6499,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
Nevada,Holt Damped Trend,717.0737,726.2266,58.2325,257.693,Very Low,False,42,6,2015-01-01,2018-06-01,2018-07-01,2018-12-01
New Hampshire,Historical Average,245.1421,388.2421,70.0918,97.4442,Very Low,False,35,6,2015-05-01,2018-03-01,2018-04-01,2018-09-01
New Hampshire,Last Value (Naive),251.5717,454.4949,100.0,100.0,Very Low,False,35,6,2015-05-01,2018-03-01,2018-04-01,2018-09-01
New Hampshire,Three Month Moving Average,251.5717,454.4949,100.0,100.0,Very Low,False,35,6,2015-05-01,2018-03-01,2018-04-01,2018-09-01
